depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
871.144,1.99281502565285e-06,5.02428038731237e-05,3.04801022930981e-06
871.334,1.98371346887313e-06,5.04198941759476e-05,3.33504258274258e-06
871.494,1.80425904285883e-06,5.02450167402441e-05,4.44216737455466e-06
872.874,1.31199186880535e-06,4.80918964165604e-05,5.03060389811864e-06
873.034,1.04543194876724e-06,4.608847003186e-05,4.2781488868788e-06
873.234,1.04617905786258e-06,4.62909526390829e-05,4.52417661839259e-06
873.424,8.77828311643438e-07,4.47052164053761e-05,3.59473852156269e-06
873.594,6.14574983198793e-06,7.42625152017053e-05,4.10046219189661e-06
873.794,3.9238644377136e-06,6.12583738245616e-05,3.1026830585351e-06
873.994,4.46599357146781e-06,6.49088678240562e-05,3.96378011883339e-06
874.194,3.14241334611015e-06,5.76875792633801e-05,4.08679398459029e-06
874.446,2.39341859672252e-06,5.41102841415754e-05,4.83989343192693e-06
874.596,2.21793094215158e-06,5.31575416159981e-05,4.84496085254458e-06
874.936,1.56906229541573e-06,5.0539968471158e-05,6.1467812092214e-06
875.196,2.58954849779875e-06,5.52574397059264e-05,4.80847542409743e-06
875.391,1.81554801803164e-06,5.13605935899602e-05,5.32636581122227e-06
875.631,6.77939532699415e-06,7.83352751734105e-05,4.50493692909961e-06
875.881,1.81214426884699e-06,5.04086275104996e-05,3.96829708568943e-06
876.271,1.55101923874641e-06,4.82427483804336e-05,2.92499636355291e-06
876.311,1.65693219708846e-06,5.05295594386189e-05,5.25947585906916e-06
877.136,1.86242938157506e-06,5.23197470670457e-05,6.03124401913876e-06
877.989,2.46444654456452e-06,5.47559123862124e-05,4.64986515876468e-06
878.159,1.87397988661956e-06,5.16392112938148e-05,4.85408220965637e-06
878.259,2.26313474746137e-06,5.38065890812223e-05,4.84192040017399e-06
878.369,1.90169750024836e-06,5.15965327563999e-05,4.55105045672031e-06
878.489,3.92768505742803e-06,6.30082601873144e-05,4.72182253153545e-06
878.906,3.08281842799412e-06,5.88326944416157e-05,5.3765332753371e-06
879.116,2.97080974424977e-06,5.77003733578744e-05,4.64327751196172e-06
879.336,1.89805705198538e-06,5.20703427514826e-05,5.08110265332753e-06
879.536,4.58093213374306e-06,6.71441345008453e-05,5.22653762505437e-06
879.676,1.71461208229972e-06,5.16758168354415e-05,5.89036972596781e-06
879.876,1.20787056293119e-06,4.8518195636722e-05,5.40136363636364e-06
880.076,9.42086519841342e-07,4.74550727201826e-05,5.94567017825008e-06
880.266,1.2291626627234e-06,4.86978211954943e-05,5.42670073945194e-06
880.466,9.67383792802116e-07,4.80351116641689e-05,6.49035232709874e-06
880.586,2.02903383592827e-06,5.32106763601455e-05,5.45051761635494e-06
880.713,2.04274445360009e-06,5.32003780989324e-05,5.31167029143106e-06
881.844,1.75356461393846e-06,5.21078767993442e-05,5.85084384515007e-06
882.034,2.06979093859562e-06,5.3386832427533e-05,5.15407351022184e-06
882.244,2.16791841995348e-06,5.3786183529659e-05,4.91742496737712e-06
882.433,1.34401914751907e-06,4.92468210215953e-05,4.97522745950122e-06
882.703,1.43945544484486e-06,5.00851893124198e-05,5.35220965637234e-06
883.003,1.61307294073394e-06,5.06338897393461e-05,4.72919972798742e-06
883.263,1.70775985492707e-06,5.20075055432777e-05,5.84476294040887e-06
883.407,2.00462015912312e-06,5.35380726479007e-05,5.64510656807308e-06
883.587,3.26174780334616e-06,6.04924624209352e-05,5.51081992170509e-06
883.737,2.51642637560706e-06,5.66580841992681e-05,5.94459112657677e-06
883.887,3.24914799973451e-06,6.09267441241567e-05,6.15134188777729e-06
884.027,1.78136119503001e-06,5.20513403355237e-05,5.22349717268378e-06
884.257,3.97832142810265e-06,6.41145725587109e-05,4.86776424532405e-06
884.697,9.52546184282402e-07,4.76785571544502e-05,5.48700304480209e-06
884.967,1.30720916171937e-06,4.95042704441038e-05,5.22704436711614e-06
885.237,1.45382438103091e-06,5.06156758868234e-05,5.58227055241409e-06
885.517,1.30150412755169e-06,4.98518817084761e-05,5.66233579817312e-06
885.74,2.84690455012264e-06,5.83199023369979e-05,5.36183775554589e-06
885.94,2.22706718509213e-06,5.47124335268896e-05,5.14900608960418e-06
886.24,2.17381422720114e-06,5.45926269136232e-05,5.34714223575468e-06
886.34,3.15408523938177e-06,6.03206137020412e-05,5.644969617511e-06
886.52,2.49389921561258e-06,5.59626487230435e-05,4.72384949978251e-06
886.778,6.26203680151376e-07,4.54913114010138e-05,4.69720474995064e-06
886.978,2.7682070725218e-06,5.75902792622246e-05,4.77351022183558e-06
887.178,3.06943945917618e-06,5.9480931984313e-05,5.01446607220531e-06
887.338,2.57833163311349e-06,5.64170027164367e-05,4.57132013919095e-06
