depth [m],temp [K]
113.25,-30.038
113.37,-30.038
113.49,-30.038
113.62,-30.038
113.74,-30.038
113.86,-30.038
113.98,-30.038
114.1,-30.038
114.22,-30.038
114.34,-30.039
114.46,-30.039
114.58,-30.039
114.7,-30.039
114.82,-30.039
114.94,-30.039
115.06,-30.039
115.19,-30.039
115.31,-30.039
115.43,-30.039
115.55,-30.039
115.67,-30.04
115.79,-30.04
115.94,-30.04
116.06,-30.04
116.18,-30.04
116.3,-30.04
116.42,-30.04
116.54,-30.04
116.66,-30.04
116.78,-30.04
116.9,-30.041
117.03,-30.041
117.15,-30.041
117.27,-30.041
117.39,-30.041
117.51,-30.041
117.63,-30.041
117.75,-30.041
117.87,-30.041
117.99,-30.041
118.11,-30.042
118.23,-30.042
118.35,-30.042
118.47,-30.042
118.6,-30.042
118.72,-30.042
118.84,-30.042
118.96,-30.042
119.08,-30.042
119.2,-30.043
119.32,-30.043
119.44,-30.043
119.59,-30.043
119.71,-30.043
119.83,-30.043
119.95,-30.043
120.07,-30.043
120.19,-30.043
120.31,-30.043
120.44,-30.044
120.56,-30.044
120.68,-30.044
120.8,-30.044
120.92,-30.044
121.04,-30.044
121.16,-30.044
121.28,-30.044
121.4,-30.044
121.52,-30.044
121.64,-30.044
121.76,-30.044
121.89,-30.044
122.01,-30.044
122.13,-30.044
122.25,-30.045
122.37,-30.045
122.49,-30.045
122.61,-30.045
122.73,-30.045
122.85,-30.045
122.98,-30.045
123.09,-30.045
123.24,-30.046
123.36,-30.046
123.48,-30.046
123.61,-30.046
123.72,-30.046
123.84,-30.046
123.96,-30.046
124.09,-30.046
124.21,-30.047
124.33,-30.047
124.45,-30.047
124.57,-30.047
124.69,-30.047
124.81,-30.047
124.93,-30.047
125.05,-30.048
125.17,-30.048
125.29,-30.048
125.41,-30.048
125.54,-30.048
125.66,-30.048
125.78,-30.048
125.9,-30.048
126.02,-30.049
126.14,-30.049
126.26,-30.049
126.38,-30.049
126.5,-30.049
126.62,-30.049
126.77,-30.049
126.89,-30.05
127.01,-30.05
127.13,-30.05
127.25,-30.05
127.37,-30.05
127.49,-30.05
127.61,-30.05
127.73,-30.051
127.85,-30.051
127.97,-30.051
128.09,-30.051
128.22,-30.051
128.34,-30.051
128.46,-30.052
128.58,-30.052
128.7,-30.052
128.82,-30.052
128.94,-30.052
129.06,-30.052
129.18,-30.052
129.31,-30.053
129.42,-30.053
129.55,-30.053
129.67,-30.053
129.79,-30.053
129.91,-30.053
130.03,-30.053
130.15,-30.054
130.27,-30.054
130.42,-30.054
130.54,-30.054
130.66,-30.054
130.78,-30.054
130.9,-30.054
131.02,-30.055
131.14,-30.055
131.26,-30.055
131.38,-30.055
131.5,-30.055
131.62,-30.055
131.74,-30.055
131.87,-30.056
131.99,-30.056
132.11,-30.056
132.23,-30.056
132.35,-30.056
132.47,-30.056
132.59,-30.056
132.71,-30.057
132.83,-30.057
132.95,-30.057
133.07,-30.057
133.2,-30.057
133.32,-30.057
133.44,-30.057
133.56,-30.057
133.68,-30.058
133.8,-30.058
133.92,-30.058
134.06,-30.058
134.18,-30.058
134.3,-30.058
134.43,-30.058
134.55,-30.058
134.67,-30.058
134.79,-30.058
134.91,-30.058
135.03,-30.059
135.15,-30.059
135.27,-30.059
135.39,-30.059
135.52,-30.059
135.63,-30.059
135.76,-30.059
135.88,-30.059
136,-30.059
136.12,-30.059
136.24,-30.059
136.36,-30.059
136.48,-30.059
136.6,-30.059
136.72,-30.059
136.84,-30.059
136.96,-30.059
137.08,-30.06
137.2,-30.06
137.32,-30.06
137.45,-30.06
137.59,-30.06
137.71,-30.06
137.83,-30.06
137.95,-30.06
138.07,-30.06
138.2,-30.06
138.31,-30.06
138.44,-30.06
138.56,-30.06
138.68,-30.06
138.8,-30.06
138.92,-30.06
139.04,-30.06
139.16,-30.06
139.28,-30.06
139.4,-30.06
139.52,-30.06
139.64,-30.06
139.76,-30.06
139.89,-30.06
140.01,-30.06
140.13,-30.06
140.25,-30.061
140.37,-30.061
140.49,-30.061
140.61,-30.061
140.73,-30.061
140.85,-30.061
140.97,-30.061
141.1,-30.061
141.24,-30.061
141.35,-30.061
141.48,-30.061
141.6,-30.061
141.72,-30.061
141.84,-30.061
141.96,-30.061
142.08,-30.061
142.21,-30.061
142.33,-30.061
142.44,-30.061
142.57,-30.061
142.69,-30.062
142.81,-30.062
142.93,-30.062
143.05,-30.062
143.17,-30.062
143.29,-30.062
143.41,-30.062
143.53,-30.062
143.65,-30.062
143.77,-30.062
143.89,-30.062
144.01,-30.062
144.14,-30.063
144.25,-30.063
144.37,-30.063
144.5,-30.063
144.62,-30.063
144.74,-30.063
144.86,-30.063
145,-30.063
145.13,-30.063
145.25,-30.063
145.37,-30.063
145.49,-30.064
145.61,-30.064
145.73,-30.064
145.85,-30.064
145.97,-30.064
146.09,-30.064
146.21,-30.064
146.33,-30.064
146.46,-30.064
146.58,-30.064
146.7,-30.064
146.82,-30.065
146.94,-30.065
147.06,-30.065
147.19,-30.065
147.3,-30.065
147.42,-30.065
147.54,-30.065
147.66,-30.065
147.78,-30.065
147.9,-30.065
148.02,-30.065
148.15,-30.066
148.27,-30.066
148.39,-30.066
148.53,-30.066
148.65,-30.066
148.77,-30.066
148.9,-30.066
149.02,-30.066
149.13,-30.066
149.26,-30.066
149.38,-30.066
149.5,-30.066
149.62,-30.067
149.74,-30.067
149.86,-30.067
149.98,-30.067
150.11,-30.067
150.23,-30.067
150.35,-30.067
150.47,-30.067
150.6,-30.067
150.71,-30.067
150.83,-30.067
150.96,-30.067
151.08,-30.067
151.2,-30.067
151.32,-30.068
151.44,-30.068
151.56,-30.068
151.68,-30.068
151.8,-30.068
151.92,-30.068
152.05,-30.068
152.19,-30.068
152.31,-30.068
152.43,-30.068
152.55,-30.068
152.68,-30.068
152.79,-30.068
152.91,-30.068
153.04,-30.068
153.16,-30.068
153.28,-30.069
153.4,-30.069
153.52,-30.069
153.64,-30.069
153.76,-30.069
153.88,-30.069
154,-30.069
154.12,-30.069
154.24,-30.069
154.36,-30.069
