depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
1825,2.3178716745464e-06,5.66147263553656e-06,3.12659852109613e-07
1832,2.53155581235925e-06,6.07466048754622e-06,3.95258808177468e-07
1872,1.7301628870053e-06,4.92809128522644e-06,3.94889007982399e-07
1883,1.60493090684862e-06,4.75294746292003e-06,3.38476292556342e-07
1900,1.88891042430785e-06,5.32167619197449e-06,2.93346120215497e-07
1910,1.01996742037289e-06,3.92484723946559e-06,5.97974783516205e-07
1931,2.64515063706974e-07,3.25206966383041e-06,2.93346120215497e-06
1935,1.84566582907311e-06,6.53456099022663e-06,4.73866809578879e-06
1957,6.13374669698206e-06,1.44313556605811e-05,4.73803827751196e-06
1971,4.75688716629086e-07,4.17735284055209e-06,4.40019180323245e-06
1982,2.32416781648847e-06,8.0809763058116e-06,6.17719233915325e-06
1995,1.77045438939604e-06,6.84918190784808e-06,4.99252531520605e-06
2007,3.14816562029805e-06,8.58300982609778e-06,1.41313852142273e-06
2020,1.2623030688641e-06,5.97614233338662e-06,4.65404902264971e-06
2038,1.76122428408731e-06,7.02802210066432e-06,4.59763630722365e-06
2054,2.00326091567908e-06,7.60876562753557e-06,4.59763630722365e-06
2094.9,1.66550923249928e-06,6.77403240462455e-06,2.8220460891885e-06
2108,2.25893086071779e-06,8.26538707077334e-06,3.58220742955462e-06
2116,0,3.64730420836293e-06,3.04628663300708e-06
2124,7.20976560979792e-07,5.46717585131257e-06,4.20274729924125e-06
2134,0,3.80898708324757e-06,3.27757876625391e-06
2146,1.13423639987182e-06,5.69800298981593e-06,1.49493695879051e-06
2155,1.30263048099501e-06,6.41371769637318e-06,2.57806109497081e-06
2164,2.36234555835998e-06,8.72208103991002e-06,2.73319606239246e-06
2173,1.43385946232703e-06,6.98023745089442e-06,3.13090570614617e-06
2183,8.47772149239872e-07,5.7967590028199e-06,3.01808027529405e-06
2193,2.60339489004294e-06,9.37021362567724e-06,2.28471497475531e-06
2202,1.79479483003685e-06,8.53596517144497e-06,5.02073167291908e-06
